fid,id,length
20899,430,9085
20898,431,19481
20901,432,177889
20900,433,66719
20902,434,33852
20921,435,658
20920,436,27797
20923,437,3562
20922,438,8150
20925,439,23757
20924,440,18100
20927,441,6058
20926,442,17243
20913,443,4686
20912,444,6895
20915,445,11420
20914,446,25822
20917,447,16719
20916,448,11343
20919,449,45177
20918,450,4317
20937,451,22155
20939,452,2081
20938,453,24542
20941,454,8716
20940,455,28360
20942,456,59842
20929,457,3678
20928,458,31221
20931,459,1571
20930,460,7955
20933,461,112683
20932,462,89893
20935,463,63951
20934,464,30333
20954,465,34199
20961,466,39893
20960,467,13240
20963,468,18660
20962,469,10561
20761,470,80361
20760,471,34993
20762,472,2748
20777,473,3906
20776,474,39264
20779,475,8263
20778,476,12160
20781,477,53557
20780,478,22146
20783,479,30603
20782,480,41988
20771,481,36262
20773,482,30384
20772,483,60295
20775,484,14449
20774,485,46689
20785,486,28309
20784,487,31244
20787,488,5163
20786,489,49401
20789,490,137149
20788,491,13257
20791,492,156113
20790,493,16512
20829,494,38848
20830,495,36470
20841,496,26872
20840,497,36825
20843,498,51692
20842,499,25791
20844,500,7272
20833,501,18398
20832,502,48286
20835,503,9766
20834,504,25130
20837,505,8933
20836,506,2871
20839,507,6464
20838,508,1460
20857,509,34117
20856,510,49780
20851,511,35482
20850,512,275178
20853,513,63006
20852,514,66529
20855,515,60779
20854,516,46812
20681,517,9762
20680,518,5546
20683,519,19196
20682,520,1962
20685,521,25075
20684,522,6965
20687,523,25345
20686,524,10661
20673,525,28450
20675,526,16217
20674,527,27188
20677,528,2965
20676,529,10735
20679,530,13621
20678,531,64611
20697,532,20492
20696,533,31389
20699,534,62686
20698,535,79922
20701,536,7091
20700,537,72820
20703,538,19699
20702,539,14370
20689,540,132445
20688,541,2639
20695,542,9643
20715,543,55084
20717,544,103579
20716,545,61914
20719,546,36904
20718,547,11973
20705,548,19663
20704,549,5548
20707,550,3598
20706,551,1725
20709,552,66672
20708,553,34008
20710,554,33111
20729,555,41392
20728,556,32532
20730,557,102398
20721,558,14927
20720,559,8316
20723,560,93359
20722,561,32872
20725,562,1613
20724,563,4505
20727,564,11489
20726,565,41987
20553,566,2165
20552,567,15013
20551,568,8504
22657,569,4955
22656,570,35176
22659,571,7628
22658,572,41933
22661,573,19369
22660,574,7383
22663,575,25504
22662,576,7966
22568,577,76822
22567,578,25585
22584,579,45298
22587,580,1221
22589,581,113433
22588,582,120402
22591,583,20372
22590,584,58497
22593,585,5332
22592,586,32504
22595,587,72459
22594,588,114984
22617,589,107495
22616,590,2371
22619,591,73219
22618,592,114861
22620,593,142702
22636,594,1362
22651,595,69887
22653,596,169106
22652,597,8364
22655,598,74198
22641,599,115538
22643,600,78021
22642,601,12203
22645,602,20102
22644,603,79520
22647,604,26528
22646,605,37282
18313,606,19000
18312,607,57319
18329,608,13951
18328,609,32452
18331,610,13686
18330,611,6452
18333,612,9149
18332,613,10878
18335,614,27302
18334,615,8319
18325,616,69921
18327,617,24735
18326,618,17423
18345,619,18712
18344,620,49454
18347,621,1096
18346,622,8917
18349,623,12639
18348,624,58847
18351,625,61207
18350,626,10117
18337,627,33064
18336,628,17302
18339,629,22751
18338,630,14927
18341,631,9629
18340,632,6562
18343,633,510
18342,634,14270
18361,635,8189
18360,636,8891
18363,637,1833
18362,638,15783
18364,639,50491
18353,640,75617
18352,641,36670
18355,642,20947
18354,643,7119
18357,644,21392
18356,645,25161
18359,646,36570
18358,647,41717
18201,648,3085
18200,649,54145
18203,650,20173
18202,651,7861
18205,652,25865
18204,653,41771
18207,654,5642
18206,655,2144
18195,656,22048
18197,657,1707
18196,658,65053
18199,659,2317
18198,660,19729
18209,661,3475
18208,662,8683
18211,663,28901
18210,664,47133
18213,665,8976
18212,666,6016
18215,667,12994
18214,668,35699
18239,669,737
18238,670,41426
18248,671,10717
18241,672,8566
18240,673,36785
18243,674,6931
18242,675,13268
18245,676,39974
18244,677,36571
18247,678,57194
18246,679,19024
18295,680,19636
18294,681,45757
18049,682,12902
18048,683,8073
18051,684,15058
18050,685,26252
18052,686,8392
18069,687,40577
18068,688,18971
18071,689,31588
18070,690,12497
18089,691,12450
18088,692,77025
18091,693,47221
18090,694,49937
18093,695,42297
18092,696,28574
18094,697,24319
18120,698,54272
18125,699,11391
18124,700,73621
18119,701,8644
18118,702,20384
18137,703,9416
18139,704,34857
18138,705,38331
18141,706,35240
18140,707,11326
18142,708,6816
17929,709,11292
17928,710,15409
17931,711,58282
17930,712,38876
17933,713,11310
17932,714,30974
17935,715,8847
17934,716,21369
17949,717,2426
17951,718,17050
17950,719,23444
17937,720,11205
17936,721,7235
17939,722,44029
17938,723,39373
17941,724,8710
17940,725,23919
17953,726,31689
17952,727,4950
17997,728,11134
17996,729,14414
17999,730,6572
17998,731,28990
18009,732,9304
18008,733,11867
18001,734,30933
18000,735,8245
18003,736,6828
18002,737,8530
18005,738,13696
18004,739,53898
18007,740,11045
18006,741,4254
18025,742,12840
18024,743,2369
18027,744,61246
18026,745,35404
18029,746,9329
18028,747,34813
18031,748,7686
18030,749,50490
18023,750,12397
18041,751,3241
18040,752,5426
18043,753,6490
18042,754,36565
18047,755,4046
18046,756,3276
18033,757,24441
18032,758,21250
18035,759,40101
18034,760,24122
18037,761,1459
18036,762,21669
18039,763,3136
18038,764,7356
17801,765,32741
17800,766,2776
17803,767,21770
17802,768,32020
17805,769,22656
17804,770,5619
17807,771,19035
17806,772,24294
17793,773,24562
17792,774,25091
17795,775,17716
